codigo_layout,qtd_chapas,perc_aproveitamento,perc_sobras,tempo_estimado_seg,descricao_material,id_recurso,mm_comprimento,mm_largura,mm_comp_linear,nome_projeto,sobra,tipo,codigo_lote
RECOI21519L111-,1,82.534715793,0,293,CHAPA MDP BP 2F 15 MM BRAN,2,2750,491,17490,4432_SEC_MDP_BRAN_15_2_test_niziolek,S,recorte,RECO
RETRI193L1-,1,82.534715793,0,293.660318375,CHAPA MDP BP 2F 15 MM BRAN,2,2750,491,17490,RETR_SEC_MDP_BRAN_15_2_test_niziolek,S,sobra,RETR
RETRI193L2-,1,46.455755411,0,168.556979453,CHAPA MDP BP 2F 15 MM BRAN,2,2412,195,5014,RETR_SEC_MDP_BRAN_15_2_test_niziolek,S,sobra,RETR
4432I999L1-,1,79.398902862,0,240.785210386,CHAPA MDP BP 2F 15 MM BRAN,2,678,570,5416,RETR_SEC_MDP_BRAN_15_2_test_niziolek,S,sobra,RETR
4432I999L2-,3,88.796855037,0,763.398176238,CHAPA MDP BP 2F 15 MM BRAN,2,2750,1850,65825,RETR_SEC_MDP_BRAN_15_2_test_niziolek,N,chapa,RETR
4432I999L3-,1,89.293366093,0,750.825293185,CHAPA MDP BP 2F 15 MM BRAN,2,2750,1850,65220,RETR_SEC_MDP_BRAN_15_2_test_niziolek,N,chapa,RETR
