codigo_layout;qtd_chapas;perc_aproveitamento;perc_sobras;tempo_estimado_seg;descricao_material;id_recurso;mm_comprimento;mm_largura;mm_comp_linear;nome_projeto;codigo_lote;tipo;id_retrabalho
5443I29951L29-;1;23.422113022;74.451027027;216.378529038;CHAPA MDF BP 2F 6 MM CILIEGIO PORO;9;2750;1850;18050;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L30-;1;23.534152334;75.209434889;120.94180476;CHAPA MDF BP 2F 6 MM LANA CONCEITO;9;2750;1850;10200;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L31-;1;50.164031621;38.058102767;247.588706327;CHAPA MDF BP 1F 6 MM CINZA SAGRADO;9;2750;1840;21950;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L32-;1;21.273710074;77.349818182;135.123542964;CHAPA MDF BP 2F 6 MM CARMEL ESSENZIALE;9;2750;1850;11410;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L33-;1;74.282063882;6.781719902;227.731200849;CHAPA MDF BP 2F 6 MM REALI LISO;9;2750;1850;20400;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L34-;1;10.693857494;88.435773956;72.539702244;CHAPA MDF BP 2F 6 MM REALI LISO;9;2750;1850;6150;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L35-;1;80.725307125;0;208.672070496;CHAPA MDF BP 2F 6 MM TOQUIO MATIZ;9;2750;1850;18710;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L36-;1;25.964226044;72.840192629;84.859222929;CHAPA MDF BP 2F 6 MM TOQUIO MATIZ;9;2750;1850;8887;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L37-;4;78.775429975;19.308972973;100.138425706;CHAPA MDF BP 2F 6 MM TOQUIO MATIZ;9;2750;1850;12820;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L38-;1;21.464373464;76.886486486;174.929114234;CHAPA MDF BP 2F 6 MM SELINE TEXTURE;9;2750;1850;14550;5443_PECAS_ESPECIAIS_6MM;5443;chapa
5443I29951L39-;1;20.502643735;72.086486486;243.335388365;CHAPA MDF BP 1F 6 MM TRAMA GIANDUIA;9;2750;1850;20210;5443_PECAS_ESPECIAIS_6MM;5443;chapa
RETR5-;1;1.686486486;93.275675676;71.488594932;CHAPA MDF BP 2F 6 MM AMENDOEIRA;9;2750;1850;5720;5443_PECAS_ESPECIAIS_6MM;5443;chapa;115532
RETR5-;1;26.669995086;70.4;181.436906211;CHAPA MDF BP 2F 6 MM AZUL LORD CHESS;9;2750;1850;14920;5443_PECAS_ESPECIAIS_6MM;5443;chapa;115533
