Username,PanelID,Date,Start,End,FeedPanelEnd,FeedTime,Duration,Size,ProcessSide,Area,HoleCount,GrooveCount,MillCount,WorkArea,PositioningEnd,PositioningTime
,PRATELEIRA INF,2025/04/30,01:21:32,01:21:54,01:21:35,1.622,19.344,611.55 x 349.85 x 18.3,XY1,.214,0,4,0,Default,01:21:33,1.061
,PRATELEIRA INF,2025/04/30,01:22:20,01:22:42,01:22:23,1.872,19.282,611.55 x 349.85 x 18.3,XY1,.214,0,4,0,Default,01:22:21,1.061
,PRATELEIRA INF,2025/04/30,01:23:01,01:23:22,01:23:03,1.310,19.219,611.55 x 349.85 x 18.3,XY1,.214,0,4,0,Default,01:23:02,.874
,LAT ESQ CX ESQ,2025/04/30,01:25:06,01:26:06,01:25:31,23.837,34.882,874.44 x 498 x 18.3,XY1,.435,44,0,0,Default,01:25:07,1.123
,LAT DIR CX DIR,2025/04/30,01:26:31,01:27:17,01:26:36,3.432,41.496,874.44 x 498 x 18.3,XY1,.435,46,0,0,Default,01:26:32,1.498
,RDP CENT,2025/04/30,01:30:01,01:30:30,01:30:11,7.987,19.219,319.4 x 100 x 15.3,XY1,.032,8,0,0,Default,01:30:03,1.825
,RDP CENT,2025/04/30,01:30:34,01:30:56,01:30:37,2.496,18.907,319.4 x 100 x 15.3,XY1,.032,8,0,0,Default,01:30:35,.936
,RDP DIR ESQ,2025/04/30,01:31:04,01:31:35,01:31:16,11.045,19.094,319.4 x 100 x 15.3,XY1,.032,8,0,0,Default,01:31:04,.811
,TRAV DIR TST,2025/04/30,01:31:40,01:31:58,01:31:45,4.056,13.291,444.85 x 70 x 15.3,XY1,.031,5,0,0,Default,01:31:41,.827
,TRAV ESQ TST,2025/04/30,01:32:04,01:32:19,01:32:08,2.808,11.794,444.85 x 70 x 15.3,XY1,.031,5,0,0,Default,01:32:05,.952
,TRAV CENT TST,2025/04/30,01:32:26,01:32:38,01:32:29,2.371,8.112,444.85 x 155 x 15.3,XY1,.069,3,0,0,Default,01:32:27,1.061
,TAMPO CREM X,2025/04/30,01:32:55,01:33:35,01:33:03,6.926,31.886,460.4 x 350.7 x 18.3,XY1,.161,12,0,0,Default,01:32:57,1.435
,BASE CREM X,2025/04/30,01:33:53,01:34:46,01:34:18,23.275,28.704,460.4 x 350.7 x 18.3,XY1,.161,14,0,0,Default,01:33:54,.936
,DIV TST,2025/04/30,01:35:00,01:35:50,01:35:17,15.787,33.446,459.4 x 429.55 x 15.3,XY1,.197,14,0,0,Default,01:35:01,.874
,TRAVA DIR CIG,2025/04/30,01:39:06,01:39:36,01:39:11,4.805,25.100,1250 x 70 x 15.3,XY1,.088,10,0,0,Default,01:39:06,.624
,TRAVA ESQ CIG,2025/04/30,01:39:48,01:40:14,01:39:51,1.747,22.651,1250 x 70 x 15.3,XY1,.088,10,0,0,Default,01:39:49,1.123
,TRAV FRONT ESQ,2025/04/30,01:40:29,01:40:57,01:40:31,1.435,25.787,1241.4 x 70 x 15.3,XY1,.087,14,0,0,Default,01:40:30,.811
,TRAV FRONT DIR,2025/04/30,01:41:09,01:41:38,01:41:13,2.434,25.584,1241.4 x 70 x 15.3,XY1,.087,14,0,0,Default,01:41:10,.998
,RDP FRON ESQ,2025/04/30,01:41:53,01:42:35,01:42:04,10.234,31.013,1256.7 x 100 x 15.3,XY1,.126,16,0,0,Default,01:41:54,1.373
,RDP FRON DIR,2025/04/30,01:42:42,01:43:14,01:42:44,1.373,30.014,1256.7 x 100 x 15.3,XY1,.126,16,0,0,Default,01:42:43,.936
