Username,PanelID,Date,Start,End,FeedPanelEnd,FeedTime,Duration,Size,ProcessSide,Area,HoleCount,GrooveCount,MillCount,WorkArea,PositioningEnd,PositioningTime
,TAMPO,2025/04/29,00:01:51,00:02:14,00:02:02,9.610,11.669,650 x 400 x 18.3,XY1,.260,7,0,0,Default,00:01:52,1.498
,TAMPO,2025/04/29,00:02:22,00:02:36,00:02:25,1.872,11.419,650 x 400 x 18.3,XY1,.260,7,0,0,Default,00:02:23,.749
,TAMPO,2025/04/29,00:02:52,00:03:08,00:02:55,2.184,13.478,650 x 400 x 18.3,XY1,.260,7,0,0,Default,00:02:52,.749
,TAMPO,2025/04/29,00:03:34,00:03:48,00:03:37,2.059,11.606,650 x 400 x 18.3,XY1,.260,7,0,0,Default,00:03:35,.624
,PAINEL TRAS,2025/04/29,00:05:07,00:06:07,00:05:21,13.728,45.817,619.4 x 399.4 x 15.3,XY1,.247,24,0,0,Default,00:05:08,1.061
,PAINEL TRAS,2025/04/29,00:07:43,00:08:33,00:07:47,2.870,45.926,619.4 x 399.4 x 15.3,XY1,.247,24,0,0,Default,00:07:44,.936
,PAINEL TRAS,2025/04/29,00:09:07,00:09:56,00:09:10,2.184,45.739,619.4 x 399.4 x 15.3,XY1,.247,24,0,0,Default,00:09:08,.936
,PAINEL TRAS,2025/04/29,00:10:47,00:11:35,00:10:49,1.435,45.552,619.4 x 399.4 x 15.3,XY1,.247,24,0,0,Default,00:10:48,1.061
,BASE X,2025/04/29,00:13:42,00:14:37,00:14:03,20.467,34.070,619.4 x 383 x 15.3,XY1,.237,20,0,0,Default,00:13:43,.952
,BASE X,2025/04/29,00:15:16,00:15:52,00:15:18,1.810,33.961,619.4 x 383 x 15.3,XY1,.237,20,0,0,Default,00:15:16,.515
,BASE X,2025/04/29,00:16:18,00:16:55,00:16:21,2.434,34.070,619.4 x 383 x 15.3,XY1,.237,20,0,0,Default,00:16:19,.998
,BASE X,2025/04/29,00:17:18,00:18:00,00:17:26,6.427,33.946,619.4 x 383 x 15.3,XY1,.237,20,0,0,Default,00:17:19,.874
,PORTA_ESQ,2025/04/29,00:19:42,00:20:30,00:20:20,36.691,10.234,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:19:43,1.061
,PORTA_ESQ,2025/04/29,00:20:59,00:21:14,00:21:04,3.619,10.000,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:21:00,.936
,PORTA_ESQ,2025/04/29,00:21:48,00:22:01,00:21:51,1.622,10.171,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:21:49,.811
,PORTA_ESQ,2025/04/29,00:27:40,00:27:53,00:27:43,2.059,10.062,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:27:41,.811
,PORTA_DIR,2025/04/29,00:28:10,00:28:40,00:28:30,19.469,9.173,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:28:11,1.061
,PORTA_DIR,2025/04/29,00:29:15,00:29:27,00:29:18,2.059,8.736,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:29:16,.749
,PORTA_DIR,2025/04/29,00:29:49,00:30:01,00:29:52,2.621,8.174,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:29:50,.811
,PORTA_DIR,2025/04/29,00:30:26,00:30:38,00:30:30,2.621,8.299,384.7 x 315.7 x 15.3,XY1,.121,2,0,0,Default,00:30:27,.749
,GAV00041817A,2025/04/29,01:07:38,01:07:56,01:07:42,3.432,14.617,610 x 55.5 x 15.3,XY1,.034,8,0,0,Default,01:07:38,.452
,GAV00041818A,2025/04/29,01:10:23,01:10:39,01:10:26,1.747,12.995,610 x 55.5 x 15.3,XY1,.034,6,0,0,Default,01:10:24,.936
,GAV00041822A,2025/04/29,01:10:59,01:11:20,01:11:04,3.245,16.474,610 x 55.5 x 15.3,XY1,.034,8,0,0,Default,01:11:00,.936
,GAV00041604A,2025/04/29,01:11:30,01:11:45,01:11:32,1.248,13.120,583.75 x 55.5 x 15.3,XY1,.032,6,0,0,Default,01:11:31,.874
,GAV00041603A,2025/04/29,01:12:04,01:12:21,01:12:07,2.371,14.664,583.75 x 55.5 x 15.3,XY1,.032,8,0,0,Default,01:12:04,.811
,GAV00041604A,2025/04/29,01:12:28,01:12:44,01:12:31,1.248,13.104,583.75 x 55.5 x 15.3,XY1,.032,6,0,0,Default,01:12:29,.998
,GAV00041603A,2025/04/29,01:12:50,01:13:08,01:12:54,2.371,14.539,583.75 x 55.5 x 15.3,XY1,.032,8,0,0,Default,01:12:51,.936
,GAV00041960A,2025/04/29,01:13:28,01:13:46,01:13:31,1.622,15.413,440 x 85 x 15.3,XY1,.037,4,1,0,Default,01:13:29,.811
,GAV00041960A,2025/04/29,01:14:38,01:14:59,01:14:41,2.246,18.096,440 x 85 x 15.3,XY1,.037,4,1,0,Default,01:14:39,.998
,GAV00041959A,2025/04/29,01:15:36,01:15:54,01:15:39,1.622,15.350,440 x 85 x 15.3,XY1,.037,4,1,0,Default,01:15:37,.811
,GAV00041959A,2025/04/29,01:16:51,01:17:09,01:16:54,1.248,15.382,440 x 85 x 15.3,XY1,.037,4,1,0,Default,01:16:52,.998
,GAV00041975A,2025/04/29,01:17:42,01:18:08,01:17:46,3.494,21.544,520.5 x 135.5 x 15.3,XY1,.071,10,0,0,Default,01:17:43,1.248
,GAV00041974A,2025/04/29,01:18:30,01:18:56,01:18:34,3.058,21.965,520.5 x 135.5 x 15.3,XY1,.071,12,0,0,Default,01:18:31,.874
,TRAV SUP,2025/04/29,01:20:11,01:20:36,01:20:15,2.434,21.528,619.4 x 70 x 15.3,XY1,.043,12,0,0,Default,01:20:12,1.014
,TRAV SUP,2025/04/29,01:20:42,01:21:05,01:20:44,1.061,21.653,619.4 x 70 x 15.3,XY1,.043,12,0,0,Default,01:20:43,1.076
,TRAV SUP,2025/04/29,01:21:13,01:21:37,01:21:15,1.872,21.715,619.4 x 70 x 15.3,XY1,.043,12,0,0,Default,01:21:14,1.061
,TRAV SUP,2025/04/29,01:21:43,01:22:07,01:21:46,1.186,21.715,619.4 x 70 x 15.3,XY1,.043,12,0,0,Default,01:21:44,1.186
,TRA00018586A,2025/04/29,01:25:16,01:25:37,01:25:27,9.173,10.171,927 x 60 x 18.3,XY1,.056,2,0,0,Default,01:25:18,1.123
,TRA00018589A,2025/04/29,01:26:06,01:26:19,01:26:10,2.933,9.610,927 x 60 x 18.3,XY1,.056,2,0,0,Default,01:26:07,.952
,TRA00018587A,2025/04/29,01:26:28,01:26:45,01:26:35,5.257,10.046,927 x 60 x 18.3,XY1,.056,4,0,0,Default,01:26:29,.936
,TRA00018593A,2025/04/29,01:26:54,01:27:12,01:27:02,7.426,9.859,927 x 60 x 18.3,XY1,.056,4,0,0,Default,01:26:55,.686
,TRA00018592A,2025/04/29,01:27:22,01:27:37,01:27:27,4.555,9.734,927 x 60 x 18.3,XY1,.056,2,0,0,Default,01:27:23,.936
,TRA00018590A,2025/04/29,01:27:49,01:28:02,01:27:52,2.808,9.734,927 x 60 x 18.3,XY1,.056,4,0,0,Default,01:27:49,.936
,AFA00004192A,2025/04/29,01:28:11,01:28:29,01:28:15,3.682,13.978,684 x 50 x 18.3,XY1,.034,3,0,0,Default,01:28:12,.936
,AFA00004192A,2025/04/29,01:28:45,01:29:01,01:28:49,3.182,11.794,684 x 50 x 18.3,XY1,.034,3,0,0,Default,01:28:46,.811
,PEC00001240A,2025/04/29,01:42:17,01:43:06,01:42:49,31.013,16.973,740 x 700 x 30,XY1,.518,9,0,0,Default,01:42:18,.686
,AFA00004191A,2025/04/29,01:46:11,01:46:36,01:46:24,10.920,11.560,684 x 50 x 18.3,XY1,.034,3,0,0,Default,01:46:13,2.122
,AFA00004191A,2025/04/29,01:46:45,01:46:59,01:46:48,2.309,11.794,684 x 50 x 18.3,XY1,.034,3,0,0,Default,01:46:45,.811
