Username,PanelID,Date,Start,End,FeedPanelEnd,FeedTime,Duration,Size,ProcessSide,Area,HoleCount,GrooveCount,MillCount,WorkArea,PositioningEnd,PositioningTime
,PORTA,2025/04/28,18:51:43,18:52:00,18:51:50,4.368,10.483,618.4 x 483.4 x 15.3,XY1,.299,2,0,0,Default,18:51:45,2.449
,BASE BAL X,2025/04/28,19:02:38,19:03:35,19:03:10,30.950,24.289,690 x 210 x 18.3,XY1,.145,11,0,0,Default,19:02:39,1.560
,BASE BAL X,2025/04/28,19:03:59,19:04:21,19:04:02,1.622,19.469,690 x 210 x 18.3,XY1,.145,11,0,0,Default,19:04:00,.874
